;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1;2;18/03/1996;9;37;39;41;43;49;1;PR;R$2.307.162,23;65;R$14.424,02;4488;R$208,91;R$0,00;R$0,00;R$0,00;R$0,00;
2;3;25/03/1996;10;11;29;30;36;47;2;"RN; 
SP";R$391.192,51;62;R$10.515,93;4261;R$153,01;R$0,00;R$0,00;R$0,00;R$0,00;
10;11;20/05/1996;15;25;37;38;58;59;1;RJ;R$15.591.365,07;148;R$12.706,05;9442;R$199,16;R$0,00;R$0,00;R$0,00;R$0,00;
16;17;01/07/1996;6;10;13;19;20;51;1;SP;R$6.789.869,08;144;R$7.628,37;9376;R$117,16;R$0,00;R$0,00;R$0,00;R$0,00;
23;24;19/08/1996;1;8;14;28;33;43;1;;R$18.661.679,61;227;R$7.897,31;13486;R$132,93;R$0,00;R$0,00;R$0,00;R$0,00;
28;29;22/09/1996;3;8;14;43;56;58;1;RS;R$5.401.793,60;44;R$23.083,15;5248;R$193,53;R$0,00;R$0,00;R$0,00;R$0,00;
32;33;20/10/1996;5;17;33;39;42;49;1;MG;R$13.997.410,74;128;R$9.545,76;8722;R$140,09;R$0,00;R$0,00;R$0,00;R$0,00;
40;41;15/12/1996;12;26;35;38;39;47;1;BA;R$17.019.238,50;148;R$10.114,70;10182;R$147,03;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
48;49;09/02/1997;7;13;33;35;43;55;1;RJ;R$8.405.156,76;155;R$6.916,34;9830;R$108,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador  RJ (Barra Mansa)
53;54;16/03/1997;5;9;18;21;36;56;2;"BA; 
SP";R$7.469.653,99;207;R$7.033,61;13067;R$111,20;R$0,00;R$0,00;R$0,00;R$0,00;Ganhadores dos estados: BA e SP.
57;58;13/04/1997;12;27;30;37;44;49;1;SP;R$3.631.304,91;65;R$13.601,07;5040;R$175,06;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador do Estado: SP
62;63;18/05/1997;9;25;26;40;41;49;1;MG;R$13.680.019,57;82;R$16.246,91;6359;R$209,10;R$0,00;R$0,00;R$0,00;R$0,00;
72;73;27/07/1997;25;26;28;45;51;57;1;BA;R$21.026.575,40;95;R$21.205,27;8222;R$244,52;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR: BA - SALVADOR
78;79;07/09/1997;2;13;17;25;31;43;1;RS;R$6.770.601,75;247;R$4.404,85;13375;R$81,18;R$0,00;R$0,00;R$0,00;R$0,00;O ganhador da SENA do Estado do Rio Grande do Sul
81;82;28/09/1997;15;18;29;36;51;53;1;BA;R$13.877.826,02;77;R$15.982,73;5889;R$208,57;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
89;90;23/11/1997;9;21;26;40;52;54;1;RJ;R$15.764.300,87;74;R$18.584,49;4763;R$288,17;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
95;96;04/01/1998;4;7;26;40;42;58;1;;R$5.218.562,47;62;R$11.993,17;3984;R$186,27;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
96;97;11/01/1998;5;11;14;35;53;56;1;;R$727.932,66;56;R$10.832,33;3441;R$175,94;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
101;102;15/02/1998;19;20;37;42;44;56;1;;R$11.336.626,88;73;R$16.743,36;6197;R$196,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
102;103;22/02/1998;1;7;9;49;54;57;1;;R$696.984,24;28;R$20.743,58;2632;R$220,24;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA SENA DO ESTADO DO PARAN-
111;112;25/04/1998;12;20;34;37;42;43;1;;R$15.802.579,93;137;R$9.957,01;8340;R$163,25;R$0,00;R$0,00;R$0,00;R$0,00;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
123;124;18/07/1998;5;15;34;41;52;57;1;;R$24.536.288,72;188;R$17.242,12;14019;R$230,76;R$0,00;R$0,00;R$0,00;R$0,00;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
132;133;19/09/1998;5;6;19;34;39;57;1;;R$30.533.241,12;431;R$10.035,16;29264;R$147,51;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
138;139;31/10/1998;3;13;26;27;41;42;2;;R$3.902.486,14;179;R$7.216,46;9401;R$137,14;R$0,00;R$0,00;R$0,00;R$0,00;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
143;144;05/12/1998;8;32;36;44;45;55;1;;R$33.597.755,21;257;R$20.952,14;23952;R$224,38;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
146;147;24/12/1998;6;16;23;24;28;38;1;;R$3.805.750,38;75;R$11.760,17;5418;R$162,48;R$0,00;R$0,00;R$0,00;R$0,00;01 Ganhador da MEGA  -  Distrito Federal
150;151;23/01/1999;3;16;20;43;52;56;1;;R$24.091.811,02;152;R$14.678,07;9869;R$225,62;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Rio Grande do Norte.
154;155;20/02/1999;12;30;32;35;43;44;1;;R$4.988.808,21;67;R$16.126,32;4974;R$217,22;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156;157;06/03/1999;4;13;17;21;41;44;1;;R$2.140.030,92;134;R$7.224,03;8894;R$108,84;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Goiás.
158;159;20/03/1999;9;11;16;35;50;58;1;PR;R$2.038.170,67;57;R$15.735,49;4124;R$217,49;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Paraná.
162;163;17/04/1999;8;27;36;41;53;56;2;;R$8.975.833,36;146;R$15.657,23;10793;R$211,80;R$0,00;R$0,00;R$0,00;R$0,00;02 Ganhadores da MEGA:  Distrito Federal e Mato Grosso do Sul
164;165;01/05/1999;10;19;23;35;39;56;2;;R$1.044.444,54;75;R$11.968,35;5378;R$166,91;R$0,00;R$0,00;R$0,00;R$0,00;Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco.
166;167;15/05/1999;1;11;28;33;38;48;1;;R$2.100.980,21;82;R$11.364,11;4997;R$186,48;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Rio de Janeiro.
170;171;12/06/1999;4;27;40;43;46;54;1;;R$16.052.410,83;134;R$14.983,30;10378;R$193,46;R$0,00;R$0,00;R$0,00;R$0,00;UM GANHADOR DA MEGA-SENA, no Estado do Rio de Janeiro - Capital
172;173;26/06/1999;17;28;29;42;49;50;1;;R$2.148.316,42;40;R$23.220,41;3610;R$256,32;R$0,00;R$0,00;R$0,00;R$0,00;O Ganhador da SENA é do Distrito Federal.
177;178;31/07/1999;5;15;19;26;27;33;1;;R$6.129.539,43;198;R$6.240,11;13086;R$94,07;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador do Estado de São Paulo
187;188;10/10/1999;17;27;34;42;43;46;1;;R$64.905.517,65;1200;R$11.517,11;90235;R$152,58;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da MEGASENA é do Estado da  BAHIA, Prêmio para o próximo concurso 1 MILHÃO.
190;191;31/10/1999;1;3;5;23;41;58;1;;R$50.968.412,58;383;R$13.212,41;30477;R$165,41;R$0,00;R$0,00;R$0,00;R$0,00;MEGA-SENA  tem 01 Ganhador de MATO GROSSO DO SUL, Campo Grande
194;195;27/11/1999;3;9;17;32;37;44;1;AM;R$6.370.250,64;339;R$4.005,56;13819;R$97,89;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
198;199;24/12/1999;10;16;37;50;52;57;1;SP;R$4.915.593,20;34;R$28.316,55;3143;R$305,16;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$16.500.000,00.
199;200;31/12/1999;12;15;19;34;44;51;2;;R$8.829.389,20;186;R$11.008,48;13027;R$156,59;R$0,00;R$0,00;R$0,00;R$0,00;Os ganhadores da MEGASENA são de: Clevelândia/PR e São José dos Campos/SP.
200;201;08/01/2000;5;20;22;30;35;55;1;RN;R$1.038.373,94;77;R$11.237,81;4502;R$191,48;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.070.000,00.
204;205;05/02/2000;26;32;40;43;46;54;1;RJ;R$4.490.339,49;71;R$15.208,03;6014;R$178,86;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
212;213;01/04/2000;3;9;23;30;32;35;3;"PR; 
RS; 
SC";R$7.089.194,54;312;R$7.299,77;18348;R$123,66;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
215;216;22/04/2000;14;18;30;35;42;59;4;"BA; 
MG; 
RJ; 
SP";R$801.057,55;91;R$9.745,75;5049;R$175,00;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
217;218;06/05/2000;12;17;40;42;47;54;1;PR;R$1.878.255,09;95;R$8.777,61;4679;R$177,55;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
219;220;20/05/2000;13;14;36;53;55;60;1;SP;R$12.636.751,12;125;R$12.488,05;8067;R$192,78;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
225;226;01/07/2000;1;2;38;49;50;59;1;SP;R$6.916.920,13;78;R$15.170,39;4123;R$286,14;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
228;229;22/07/2000;11;13;21;33;39;45;1;AM;R$2.992.781,57;121;R$7.508,79;7685;R$117,88;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$8.800.000,00.
232;233;19/08/2000;3;7;24;32;36;45;5;"DF; 
SP";R$3.196.547,03;512;R$3.790,28;21452;R$90,20;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
237;238;23/09/2000;9;13;15;37;41;42;4;"BA; 
SP";R$1.429.476,11;188;R$6.088,25;10483;R$108,86;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
238;239;30/09/2000;6;21;33;44;46;47;1;BA;R$866.183,32;30;R$24.060,65;3826;R$188,10;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso: R$11.500.000,00.
244;245;11/11/2000;8;27;44;51;53;60;3;"GO; 
MG; 
SC";R$9.153.484,88;283;R$15.838,62;21593;R$206,96;R$0,00;R$0,00;R$0,00;R$0,00;Previsão de prêmio do próximo concurso R$900.000,00.
